Question,Answer
Why does Ms. Tyson's claim that Pakistan military does not combat the Taliban lack veracity?,Ms. Tyson's claim that Pakistan military does not combat the Taliban lacks veracity as the force has deployed more than a hundred thousand troops to combat the insurgents and has lost nearly 500 of its men apprehended 600 plus militants.
Why is it important to have properly functioning media in a democratic society?,It is imperative to have properly functioning media to keep our leaders honest and to arm the powerless with the information they need to protect themselves against the tyranny of the powerful.
What are some of the challenges that Pakistani media faces in promoting democracy?,"Pakistani media faces challenges such as dealing with prominent media personalities, countering the ongoing tyranny of the powerful, preventing commercial interests from influencing the media, and appealing to the masses without resorting to cheap sensationalism."
What is one proposed solution for Pakistani media to revolutionize the political culture of the country?,One proposed solution is for the media to embrace both a revolutionary and evolutionary role in which it challenges traditional political structures and helps in the creation of an innovative national consciousness embedded in democratic norms and the accountability of the political establishment to the people.
Who was responsible for Z.A. Bhutto's security during his time in prison?,"Rafiuddin, a Special Security Superintendent in Rawalpindi Central Jail was responsible for Bhutto's security."
What was the Supreme Court's decision regarding Bhutto's appeal in the murder case?,"The Supreme Court rejected the appeals of Bhutto and four other accused of the murder on February 6, 1979."
Who accompanied Z.A. Bhutto for his final meeting before execution and what was their reaction?,"Mrs. Nusrat Bhutto and Benazir Bhutto were present for the final meeting, with Benazir weeping profusely."
What is the United States Air Force's role in fighting terrorism worldwide?,"The United States Air Force is involved in fighting terrorists worldwide, as stated by General T Michael Mosley, Chief of Staff US Air Force."
What are some concerns of US senior officers regarding their military capability to fight emerging powers?,"US senior officers are concerned about investing too heavily in low-grade warfare capability to fight guerrilla terrorists, as they fear more traditional war capabilities are eroding as America gets trapped in fighting guerrilla militants."
What is the cost of the ongoing conflicts in Iraq and Afghanistan?,"According to Nobel Prize-winning economist Joseph E Stiglitz and co-author Linda J Bilmes, the total cost of the Iraq war, including care of injured soldiers for the rest of their lives, could cost two trillion dollars when all is said and done."
What does the author suggest as a remedy for poverty in Pakistan?,"The author suggests that a mechanism should be put in place where the rulers must provide the basic needs of life to the masses using the national exchequer, so poverty does not burn the poor masses to ashes."
What does the author say regarding the responsibility for poverty in Pakistan?,"The masses keep blaming the rulers for poverty, but the author suggests that the rulers are as innocent as a dead born baby. They have no time for fighting poverty as they have used all their available resources and energy for other problems."
What does the author discuss regarding a mother and her children in the paragraph?,"The author discusses an incident where a young mother flung herself along with her two kids on a railway track, revealing that extreme poverty may have driven her to such an act. This is not an uncommon incident and poor parents have emancipated their families from poverty by emancipating them from life itself."
What is the Action Plan for the first 100 days?,The Action Plan for the first 100 days was announced by PM Gillani and it focuses on providing relief to different segments of the society.
What was the much criticized law that was amended by the bill introduced in the National Assembly?,The law that was amended by the bill introduced in the National Assembly is the PEMRA Ordinance which was enforced and repressively used to gag the electronic media.
What is the responsibility of the media according to the paragraph?,"The media should point out the faults of the government on one account or the other, but at the same time, they should also appreciate their good and positive decisions aimed at welfare and well-being of the people."
Who were the members of the team that visited Pakistan as part of the Post Conflict Resolution Project?,"Rick Barton, Karin von Hipple, and Mehlaqa Samdani were the members of the team that visited Pakistan as part of the Post Conflict Resolution Project."
What was the general viewpoint expressed by the citizens who were present at the interactive session organized by Fauzia Kasuri?,"Practically everyone was highly critical of the US approach towards Pakistan, as it seemed more concerned about saving its erstwhile ally General Musharraf than showing sensitivity to the widespread feelings of dislike for him amongst the people of Pakistan."
Why were the participants critical of the US support to military rulers in Pakistan?,"The participants were critical of the US support to military rulers in Pakistan as it was perceived to be antagonistic towards the promulgation of democratic rule in the country. Additionally, the US had always extended proactive support to military rulers in Pakistan, but similar support was found lacking or missing every time there was a democratic government in the country."
What emotions did insiders say were apparent on the face of former PM NS when he walked into the PM House during COAS General Parvez Kayani's briefing?,"Insiders say that emotions were writ large on the former PM NS's face, as he seemed to be reliving the moments when he was arrested and handcuffed in the corridors of the PM House and led away by men in uniform to a cramped prison cell."
"Who warned Ishaq Dar about the risk of painting a dismal picture of Pakistan's economy, and what was their warning?","While in Washington, World Bank bigwigs warned Ishaq Dar that such talk was a repellent for international donor agencies and could prove suicidal for the future of the investment bonds Pakistan is trying to float to resuscitate the economy."
"How did the daughter of a former caretaker info minister become an MNA for a reserved women's seat on the Punjab quota, and why was this done?","Leading up to the general election, the QLeague was made to nominate the daughter of a former caretaker info minister for a reserved women's seat on the Punjab quota, as they were not sure of its prospects in Sindh. Some facts and addresses were rearranged in the interest of interprovincial harmony and the larger good of the nation."
What kind of news does the politics of Pakistan generate almost every day?,The politics of Pakistan generates exciting news almost every day.
Why has the electronic media had a field day in Pakistan?,The electronic media has had a field day in Pakistan presenting reality dramas full of excitement and sensations because of the never-ending drama staged in a natural environment with a cast of thousands of people each man rendering their best talent.
What has become a nation at war with itself in Pakistan?,"Pakistan has become a nation at war with itself where reasoning has ceased to exist, where rationality is an unknown trait, and where they have stopped listening and hearing."
What is the focus of the new government's growth strategy and economic policy?,The new government's growth strategy and economic policy will centre on agriculture and manufacturing.
What are the criteria for sectors that can achieve high and sustainable growth in the Pakistani economy?,"Sectors with large potential for growth, large employment base, potential for creating new employment with high employment elasticity, and significant level of export earnings for the economy."
What are the potential issues that may derail government efforts to focus on agriculture and manufacturing?,"The government's focus on macroeconomic stability, lack of single-minded focus on the sector, historical legacy of hijacked policy-making, lack of government seriousness in tackling planning industry or agriculture-related issues, and inability to look beyond specific benefits for big industrial and agricultural lobbies."
What were the results of Pervez Musharraf and Shaukat Aziz's governance?,"Poverty increased and employment went down, while the government spent more time on foreign trips than domestic issues."
What were the consequences of Musharraf's tribal policy and manhandling of the situation in Balochistan?,Hatred for the Establishment grew and provincial disharmony was aggravated.
What is the public's opinion on the restoration of judges to their November 2 status?,Over 80 percent of the people want the judges to be reinstated to their previous status.
What is the reason for war according to the paragraph?,War is fought when there is a palpable enemy that threatens you or impedes the fulfilment of national interest.
What is the main argument against George Bush's war on terror?,"The war on terror was impulsive and unleashed on the hapless people of Afghanistan in less than twelve hours after the 9/11 tragedy, which resulted in the humiliation of a superpower and the failure of any mighty military force unless backed by strong moral sentiments."
What attitude does the paragraph convey towards USA's international image?,"Despite being the world's superpower and militarily rather impossible to be defeated, the USA is despised by a good number of nations of the world due to its arrogant bunker mentality, which has been counter-productive at home and abroad."
What is the main issue causing tension in the ruling coalition in Pakistan?,The issue causing tension is the question of the reinstatement of deposed judges.
Which political party has been most vocal about the issue of deposed judges?,The PML-N party has been the most consistent and has included the issue in the Bhurban Declaration.
What is the purpose of the committee that is being set up?,The committee is being set up because of PML-N pressure and will have to report a decision regarding the reinstatement of the deposed judges.
Who is Sarabjit Singh?,Sarabjit Singh is an Indian national who has been condemned to death and has spent seventeen years in prison.
What is the reason behind Sarabjit Singh's death sentence?,Sarabjit Singh's death sentence is allegedly due to his involvement in four bomb blasts that took place in Pakistan in 1990.
What is the editorial's stance on the death penalty?,"The editorial suggests that there is a need to widen debate on the death penalty, focusing on the manner in which it is applied and the conditions of death cells. It also claims that the death penalty is almost always applied to the poor and powerless."
What are the accusations made by top American military commanders against Iran?,"The accusations made by top American military commanders are that Tehran is supplying weapons to Shia militias in Iraq, especially to Muqtada AlSadars Mehdi Army, which is a violation of promises to stem the flow of Iranian arms into Iraq."
What is the US planning to reveal regarding arms smuggling from Iran into Iraq?,US commanders in Iraq are planning to reveal and provide proof of arms smuggling from Iran into Iraq.
What is the reason behind the tough talk on Iran by the US military commanders?,The tough talk on Iran by US military commanders is aimed more at the Arab nations which are worried about Iranian influence in the Middle East extending from the Gulf to Syria and Lebanon. They want to see the US taking a harder line against Tehran.
What is causing anguish in the print media in Pakistan?,The lack of restoration of the judiciary is causing deep anguish in the print media of Pakistan.
What is the Bhurban Declaration?,The Bhurban Declaration was widely acclaimed for its support of the restoration of the judiciary and the victory of democracy.
What solution do Pakistanis believe lies in the independent judiciary?,Pakistanis believe that only an independent judiciary as practiced by the deposed CJ can solve their multiple manifest problems.
What is the Sunday Times Rich List?,The Sunday Times Rich List is a report that reveals the top 1000 richest individuals in Britain and Ireland.
Who is the richest person in the Sunday Times Rich List?,"The richest person in the Sunday Times Rich List is Lakshmi Mittal, an Indian businessman who is the biggest name in steel and the sixth richest man in the world."
What is the author's opinion on philanthropy?,The author believes philanthropy is one of the noblest human values and one of the hallmarks of civilization. They believe philanthropy is divine and can be the only justification for the actions of the wealthy.
What is the Kashmir issue?,The Kashmir issue is a dispute over a piece of land in the Himalayas called Kashmir between India and Pakistan that has led to three wars and countless border encounters in the past sixty years.
Why was Kashmir given to India even though its population was mostly Muslim?,"A personal relationship between Lord Louis Mountbatten and Pandit Jawaharlal Nehru caused moral turpitude and infidelity on the part of a leader, leading to a change in the course of history and the ultimate annexation of Kashmir by India."
What is the stance of the United Nations regarding the Kashmir issue?,"Despite dozens of UN resolutions urging India to hold a plebiscite in Kashmir, the UN has been largely ineffective in resolving the conflict and has been criticized for its tendency to prioritize the will of the strong over justice in conflicts like Bosnia, Palestine, and Kashmir."
What are the expectations of the people of Pakistan from their newly elected democratic leadership?,"The people of Pakistan expect their newly elected democratic leadership to put the country back on the path of democracy based on constitutional supremacy, institutional integrity, rule of law, and good governance as envisioned in the Charter of Democracy."
What was the reason for Plato's disillusionment with politics?,"Plato was disheartened by the fact that his city-state was torn apart by the conflict between politicians, and he was cynical about politics because of the failure of both oligarchs and democrats in politics."
What was Mohtarma Benazir Bhutto's pledge to the nation before she died?,Mohtarma Benazir Bhutto pledged a genuine democracy rooted in the will of the people and promised to reinstate the real judges deposed illegally by General Musharraf as the army chief while he was still in uniform.
What were the four agreements reached between the PPP and PMLN leaderships at the Dubai accord?,"The four agreements were: the resolution shall be moved to reinstate the concerned judges, both sides will adhere to the Murree declaration, both parties will pledge to sustain and strengthen the present coalition, and a six-member committee will be constituted to prepare a draft of the resolution for the National Assembly."
What was the turning point that led to the successful resolution of the judges issue?,The turning point came when Zardari told Nawaz Sharif that if the PMLN Ministers withdraw from the federal government over the reinstatement of the judges issue the PPP would also quit from the government. Nawaz Sharif instantly grasped the disastrous consequences and agreed to work towards a resolution.
"What is the need of the hour, as mentioned in the paragraph?","The need of the hour is to brace every Pakistani regardless of personal or party politics, rise above provincial, sectarian or ethnic attachments, and unite under the leadership of the present coalition to face the future on a war footing."
What terminology are US government departments instructing their personnel not to use and why?,They are instructing their personnel not to describe radicals as Islamofascists or jihadists because it offends the larger Muslim community.
What is the result of using hate words according to the paragraph?,"Using hate words is supposed to condition the public into an us versus them mindset and to view the other as the enemy, leading to actions of hatred and abuse."
What did Hillary Clinton say about Iran and how was she criticized for it?,"She said that she would obliterate Iran as President of the US in support of Israel, and was criticized for it by The New York Times and the Boston Globe for her bellicosity and lack of common human decency."
Who is General Pervez Musharraf?,He is the President of the Republic who has received justification for his actions in 2007.
What is the American agenda in Pakistan?,The American agenda is prevailing and Asif Zardari is sticking firmly to it.
Who is agitated by the issue of deposed judges in Pakistan?,"Nawaz Sharif, Aitzaz Ahsan, a bunch of retired judges, and the lawyers are agitated by the matter while the masses are more preoccupied with the daily rise in prices."
What is the difference between the Murree Declaration and the Nawaz Declaration regarding the restoration of the deposed judges?,"The Murree Declaration calls for the restoration of judges through a National Assembly resolution without mentioning an executive order, while the Nawaz Declaration includes the demand for judges' restoration by May 12 through an executive order."
How do Nawaz and Asif Zardari differ in their views regarding the restoration of judges?,"Nawaz Sharif wants to restore the deposed judges for his single-minded pursuit of the president, while Asif Zardari loathes the judges."
What could be the consequences if Zardari goes with the Nawaz Declaration or not?,"If Zardari goes with the Nawaz Declaration, there could be a constitutional and judicial crisis, and anyone could move the Supreme Court for a stay until it decides whether it is constitutional. If Zardari does not go with the Nawaz Declaration, it could lead to the PPP walking out of its coalition with the Nawaz League in Punjab, and Nawaz using it as a populist political platform in opposition."
What is the role assigned to the media in a democratic society?,"The role assigned to the media by many prominent social and political critics is to become the advocates for the politically homeless, with the concept arguing that the media's role in a democracy is essentially political."
How did censorship of the media affect the political landscape in Pakistan?,"General retd Musharraf, who was fearful of the growing political power and activity of the electronic media, unconstitutionally banned several television broadcasts to put an end to this process and restrain its influence on voters' attitudes for the national elections. However, the censorship did not help Musharraf's party to win the elections."
"What is the Fourth Estate, and how should the media function within it?","The Fourth Estate stipulates media as an independent social institution that ensures other state institutions serve the public. The media must take the role of the Fourth Estate in the affairs of the country, which means that the media should act as an independent watchdog, holding leaders accountable and ensuring the public has access to accurate information."
"What is the deadline given by Nawaz Sharif regarding the restoration of judges, and what will happen if it is not met?","Nawaz Sharif has given another deadline of May 12 on his own. If the deadline is not met again, it will be a major blow for Nawaz showing how nave he is in politics."
Why do some political circles believe that the judges issue continues to linger on?,"In some political circles, it is believed that one of the coalition partners is not sincere in implementing the accord finalised by the two leading political parties. Hence the issue continues to linger on."
What is the proposed constitutional package being devised in the Presidency?,Even the constitutional package being devised in the Presidency and the one looked after by Minister Naek provide for greater reconciliation that reaches out to President Musharraf also.
What is the current poverty crisis in Pakistan?,"Pakistan is facing the gravest poverty crisis in its history, with an increasing number of people living below the poverty line."
How many people have been pushed into poverty due to food inflation during the Musharraf regime?,An additional 162 million people have entered the ranks of the poor during the Musharraf regime from 1999 to 2008 due to food inflation.
What policy measures are proposed to address the poverty crisis in Pakistan?,"Proposed policy measures include an immediate relief package for the poor, employment opportunities through improved irrigation, a national credit program for the rural poor, and establishing professionally managed public limited companies in which the poor have a substantial equity stake."
What happened during the recent general elections in some areas of NWFP?,Thousands of women Pakistani citizens were disfranchised in the recent general elections by virtue of an unholy agreement between candidates prominent leaders and notables who pledged not to allow their women folk to cast votes.
Has the Election Commission of Pakistan taken any action against this practice?,The Election Commission of Pakistan has condemned and warned against this practice but has post-election shown its inability to do anything about it on the ground that it has no suo moto power to nullify an election where women do not vote on account of family and social pressures.
What should be done to protect the rights of women citizens to vote in Pakistan?,The concept of compulsory voting should be introduced in the system by imposing sanctions in the nature of fines or withdrawal of privileges if a citizen does not vote and giving incentives if he/she does. This basic principle has been reiterated in many judgments of our superior courts.
What was the subject of Mr. Zardari's recent TV interview that affected Mr. Zaman deeply?,Mr. Zardari talked about how he was denied justice by the courts and how Zulfikar Ali Bhutto was murdered judicially.
What did Mr. Zaman conclude after listening to Mr. Zardari's talk show?,Mr. Zaman concluded that the arguments were more emotional than rational and that the PPP was against restoring judges.
Why was a Committee of eminent legal minds set up?,"The Committee was set up to sort out the issues involved in restoring judges and address other broader issues like amendments to the Constitution, ordinances, and the setting up of the Islamabad High Court."
What has been happening to the country for the last two months?,"The country has been facing a bumpy ride due to callous, insensitive, and self-serving actions."
Who are the conspirators laughing at?,"The conspirators are laughing at the people, including friends and the poor, who are fighting to keep themselves alive."
What does Shahbaz Sharif emphasize as imperative for the government to resolve?,Shahbaz Sharif believes that the resolution of the judges issue is imperative for the government to make any headway.
"What is the judges issue in Pakistan, and who benefits from its prolongation?","The judges issue refers to the crisis over the judiciary in Pakistan, which is yet to be resolved. The prolongation of this crisis benefits the President."
"Why do lawyers in Pakistan support the rule of law, according to the paragraph?","Lawyers in Pakistan support the rule of law because it enables them to predict the outcomes of cases, much like soldiers predict the outcomes of battles, and also because it acts as a bulwark against future military rule."
What is the impact of the judges' attitude in Pakistan on the War on Terror?,"The judges' attitude in Pakistan is crucial to the prosecution of the War on Terror. Without the right approach from the courts, the success of the War on Terror is rendered doubtful."
Who did the sceptics in London expect to win the Pakistani election and why were they surprised?,The sceptics in London expected the Q League to win the Pakistani election as it had the support of the establishment. They were surprised when this did not happen due to the lawyers movement inspired by Justice Iftikhar Chaudhry's defiance of Musharraf firing the imagination of the people.
Why does Asif Zardari want the CJs wings clipped?,Asif Zardari wants the CJs wings clipped before reinstatement to the Supreme Court on account of his personal grievance against the judges as he had no help from them when he was being hounded.
What have Mian Nawaz Sharif and Mian Shahbaz Sharif agreed with the PPP regarding the judges issue?,"Mian Nawaz Sharif and Mian Shahbaz Sharif have agreed to restore 60 judges removed illegally by Musharraf in November 2007 through a parliamentary resolution, which has been drafted by a six-member committee headed by PPP's Law Minister Farooq Naik and including the PPP stalwart Aitzaz Ahsan."
Who was Sardar Muhammad Iqbal and what was his profession?,Sardar Muhammad Iqbal was a former Chief Justice of the Lahore High Court.
What is the critical question that arises from the paragraph?,The critical question that arises is whether Rehman Malik was acting alone in the matter of postponement of the bypolls.
What is the rumored task assigned to the sitting governor of Punjab?,The rumor doing the rounds is about the task assigned to the sitting governor of Punjab to work on the numbers game without the PMLN.
What would be the consequences of the PPP playing a double game with General Musharraf?,The double game being played by the PPP and General Musharraf in the national arena may cast serious repercussions for the future of democracy in the country.
Who is Rehman Malik?,Rehman Malik is a federal interior adviser appointed by the PPP leadership.
What was the suggestion made by Rehman Malik that led to a fragile coalition between the PPP and the PMLN leaderships?,Rehman Malik advised the NWFP Government to request the Election Commission to postpone the byelections for two months.
Who is Jehanzeb Burki and how is he related to Mian Shahbaz Sharif?,Jehanzeb Burki is an adviser to the Punjab CM and he is related to Mian Shahbaz Sharif as an appointment to a key position that highlights the importance of personal loyalty to the PMLN leadership.
"What is the main issue with the way Pakistan has been governed, according to the paragraph?","The erosion of values has been steady, and politicians and generals have destroyed the foundations on which Pakistan was built, leading to unnecessary wars and disunity."
What steps can Pakistan take to enhance its defense capabilities and reduce spending?,"Pakistan needs to reorganize its Armed Forces and eliminate high living among its rulers, reduce thoughtless waste of the country's resources, and bring about change in health and education."
"What was reported on the front page of a leading English daily in Pakistan, and how does it compare to the lack of attention garnered by a well-represented Press Conference on the subject of defense?","The Prime Minister's grandson being circumcised was reported on the front page of a leading English daily, while a well-represented Press Conference on defense evoked little interest or comment."
What was the cause of the controversy between Asif Ali Zardari and the democratic forces led by Nawaz Sharif?,Asif Ali Zardari's opposition to the restoration of the deposed Chief Justice.
What did Asif Ali Zardari say about the judiciary in his interviews with BBC and a local private network?,"He said that the judiciary was impotent, he was refused bail five times, and the PPP's ascendancy was due to agreements made with foreign powers."
Why did the PPP delay the restoration of the judiciary even after an agreement was reached with the PMLN in the Murree Declaration?,"It seems that Zardari and the PPP were gradually reneging on their promise, and were terrified that the deposed Chief Justice would turn out to be too dangerous for the NRO beneficiaries."
What was the occasion for the lavish dinner hosted by the prime minister?,"The occasion was for the COAS, the Corps Commanders, and the Formation Commanders of the Pakistan army."
"What did the letter issued by Asif Ali Zardari, the co-chairman of the PPP, request of the ministers?",The letter requested that the ministers adopt a simple and austere living style in line with the difficult economic circumstances through which the country is passing.
"What was the writer's opinion on Musharraf's policy of ""enlightened moderation""?","The writer believed that Musharraf's policy was merely a cover to hide the face of a military dictatorship, and that what Pakistan and the rest of the Islamic world needed was a reawakening of the spirit of inquiry and quest for knowledge which had characterized the Islamic civilization in its glorious days."
What does Asif Zardari consider to be the real issue for the masses?,"He considers ""roti, kapra, aur makan"" (food, clothing, and housing) to be the real issue for the masses."
What are the two dilemmas of Pakistan's politics?,"The two dilemmas are: (1) absence of viable party organization and proper homework, leading to excessive reliance on the bureaucratic structure of the state, and (2) excessive reliance of the parties on strong personalities, making the elected leaders as ""doctoral"" as the nonelected ones."
What are the multiple crises being faced by the people of Pakistan?,"The people of Pakistan are facing multiple crises, including the energy and food crisis, collapse of public services, and the unconstitutional behavior of elected leadership."
What do most Pakistanis blame for the country's problems?,Most Pakistanis believe that feudalism is the main cause of Pakistan's plight.
"According to Dr Farooq Hassan's article, what did Asif Ali Zardari reveal in his interview with the BBC?",Asif Ali Zardari revealed that PPP's rise to power was due to agreements made by BB with foreign powers.
How did the writer in the article describe Asif Zardari's admission of foreign involvement in PPP's election victory?,The writer describes it as both unbelievable and unprecedented.
What did Shaheed Mohtarma Benazir Bhutto do to increase pressure on the Musharraf regime before the February 2008 elections?,Shaheed Mohtarma Benazir Bhutto employed her vast contacts and skills with the international community to increase pressure on the Musharraf regime not to rig the elections as massively as it had done in 2002.
What is the biggest barrier in the way of faster growth and equitable distribution in India according to The Economist?,The 100millionstrong civil servants in India.
How has the public awareness of what is right and wrong changed in India?,"The dividing line between right and wrong moral and immoral is sinking in the sands of opportunism and oppression, causing confusion."
What is the danger of an appeal to violence in India?,"Violence even otherwise produces an atmosphere of conflict and disruption, risking the nation's already diverse landscape, and makes it difficult for the socially progressive forces to win."
What is the coalition government's focus on regarding recent events?,The coalition government is solely focussed on the issue of judges.
What are some of the dangers of the government's current focus?,"The focus on judges has allowed enemies to group together and destabilise the coalition, while the run on the rupee is also a cause for concern."
What is the proposed solution to dealing with the situation?,"Catch the speculators and deal with them as the Malaysians did, and the coalition must resume governing without any hinderance. The media will continue to follow the CJ's case, but judges tend to become independent after taking their oath. The PM should issue a one-liner for the restoration, and the coalition must avoid dilly-dallying and govern effectively."
"What is the significance of February 18, 2008 in Pakistan's history?",It was the day when the nation reasserted its implicit faith in participatory political culture and restored democratic governance.
What were QuaideAzam's views on imposing decisions?,"QuaideAzam never imposed his decisions, except in situations where he was empowered to do so."
What recommendations are given to preserve the sanctity of the Federation in Pakistan?,"The governor of a province must not be from the province he belongs to, and provincial autonomy must be implemented in letter and spirit."
What are some of the challenges faced by Pakistan?,"Pakistan is suffering both at the hands of friends and foes, including involvement in America's war against Afghanistan and violations of its sovereignty by US bombings."
What are some of the priority areas for treatment according to this paragraph?,"Priority areas include restoring Pakistan's sovereignty, addressing Indian violations of the Indus Waters Treaty, raising a broad base for defence production, launching education as a nationbuilding program, taking 35 percent of the population out of the poverty line, and launching a moral rearmament campaign to regain national spirit."
What is the author's opinion on the situation in Kashmir?,"The author believes that Pakistan has abandoned Kashmiris to be butchered, their rights disowned, and their right to self-determination disregarded, and that Pakistan needs to put new life into its efforts to survive the ""onslaught of Zionists and Hindus."""
What is the reason behind the disappointment of the masses after the break-up of the coalition?,The break up of the PPPPMLN coalition in less than six weeks of being in power has widely disheartened the masses who had welcomed it as a guarantee against the conspiracies hatched by the guardians of the status quo.
Who is to benefit from the February elections and why?,The only person to benefit from the February elections is Zardari. Thanks to the deal with Musharraf that led to the promulgation of the NRO courts continue to acquit him in case after case.
What is the potential outcome of the coalition breaking up?,"With the coalition breaking up, the PPP would soon be driven into the embrace of the MQM Q League Pagara League PPP Sherpao NPP a clutch of Independents and their patroninchief Musharraf. The new bedfellows awaiting Zardari are precisely the elements responsible for the present economic mess rise in poverty and spread of extremism and militancy."
What is the game of hide and seek portrayed as in the given paragraph?,"Hide and seek is not just an innocent children's game, it is also played with equal gusto by adults, especially in Pakistan, hiding intentions and seeking self-advantage without mercy for the legitimate rights and concerns of others."
How does the game of musical chairs relate to politicking in Pakistan?,"The game of musical chairs, which is at the core of politicking in Pakistan, is often a brazen exhibition of manoeuvring and how to act without self-respect when the ultimate goal is chair-seeking."
What values are compromised as a result of the game of hide and seek?,"The big losers in the game of hide-and-seek are the values of trust and fairness, as those were the values that drove the Pakistan Movement under the leadership of the Quaid whose uncompromising honesty and strength of character were attested to even by his staunchest foes."
Why has the PPP turned to the Presidency for arguments?,The PPP has turned to the Presidency for arguments to explain why it has backed out of the deal with the PMLN on the judges.
Why has the PMLN moved into a mode where it might bring down the government at any time?,The PMLN has moved into a mode where it might bring down the government at any time by its decision to support the Gilani government from outside.
What is the reformist argument?,"The reformist argument states that with the atta petrol and power crises in full spate, the common man is not worried about the judges. Therefore, the judges are not worth restoring."
When was the author's article about the 2006 elections published and what did it predict?,"The author's article about the 2006 elections was printed on July 28, 2006. It predicted the election results and the immediate aftermath with great accuracy."
What is the author's opinion on the political establishment's ability to predict election outcomes?,"The author believes that the establishment could predict the election outcomes, but that they chose to hold a sham election instead."
What are some of the author's suggestions for immediate requirements that Pakistan should focus on?,"Some of the author's suggestions for immediate requirements include retiring all the old horses from politics, re-imposing the basic requirement of BA, and giving maximum autonomy to the provinces."
What is the current state of leadership at national and global levels?,"The misfortunes of our world today come from the absence of leadership at national and global levels, with countries no longer being led by moral imperatives."
What is the Machiavellian philosophy of government?,"Machiavelli's philosophy of government is premised on the assumption that in the absence of virtuous citizens, there are only corrupt masses that can be controlled only by a deceitful and vicious prince."
What is the current situation in Pakistan?,"Pakistan is suffering from institutional aberrations, corruption, and a lack of genuine democracy that has existed for decades. The country remains possessed by the same invisible power that has destroyed its constitutional structure and ruined its institutional integrity."
"Who was the player responsible for the crowd chanting ""Shoaib Shoaib"" and on a hat trick during a match?","Shoaib Akhtar was the player responsible for the crowd chanting ""Shoaib Shoaib"" and on a hat trick during a match."
"What was the reaction of the owner of the cricket team, Shahrukh Khan, to Shoaib's performance?",Shahrukh Khan was dancing with joy and was the Cheerleader to his team and the crowd upon Shoaib's performance.
What does the author want Asif Zardari to do concerning the PCB cricket organization?,"The author wants Asif Zardari to take a closer look at the PCB and stop the ""incompetent carpetbaggers and the parasites that feed off the system"" from destroying national treasures like Shoaib."
Who is being termed as the leading actor in the ongoing political drama in Pakistan?,Asif Zardari is being termed as the leading actor.
What does the article say about the travelling expenses and lodging of some of the American script writers?,The article mentions that their expenses are being paid by someone as they travel from country to country.
Does the article believe that the ongoing political drama in Pakistan is democratic?,"No, the article does not believe it is democratic and questions the democratic credentials of Asif Zardari and his party."
Who did Khawaja Nazimuddin remind that it was not his job to offer advice to the prime minister?,Khawaja Nazimuddin reminded the High Commissioner for the UK.
What was the purpose of the message received by the author from the State Department?,The purpose of the message was to inform the author that the Assistant Secretary for South Asia wished to meet him.
What must the government do in order to regain self-respect according to the author?,"The government must reduce wasteful expenditure, cut perks and privileges, and cut all waste burdens in order to regain self-respect."
What is PPP CoChairman Asif Zardari's stance on retaining the PCO judges?,Zardari has conceded that his party's stance on retaining the PCO judges goes against the spirit of the Charter of Democracy.
What political price is PPP paying for their stance on retaining the PCO judges?,PPP is paying a big political price for their stance on retaining the PCO judges.
